id,name,latitude,longitude
0000023046,University of Sao Paulo                           ,-23.561388889,-046.730805556
0000031117,University of Science and Technology of China     ,+31.838333333,+117.266944444
0000034120,University of Southern California                 ,+34.020277778,-118.286111111
0000033152,University of Sydney                              ,-33.888611111,+151.186944444
0000043079,University of Toronto                             ,+43.661111111,-079.395833333
0000040111,University of Utah                                ,+40.765000000,-111.848888889
0000052003,University of Warwick                             ,+52.379305556,-001.561500000
0000047122,University of Washington                          ,+47.655277778,-122.305000000
0000031115,University of Western Australia                   ,-31.977777778,+115.810000000
0000043089,University of Wisconsin Madison                   ,+43.080277778,-089.420000000
0000047009,University of Zurich                              ,+47.374305556,+008.551000000
0000059017,Uppsala University                                ,+59.850833333,+017.630000000
0000036086,Vanderbilt University                             ,+36.150277778,-086.801111111
0000038090,Washington University in St. Louis                ,+38.648611111,-090.307777778
0000041072,Yale University                                   ,+41.311111111,-072.926666667
0000030120,Zhejiang University                               ,+30.258166667,+120.119166667
